source,target,rho,abs_rho
E10,V12,0.18604230865788643,0.18604230865788643
T01,T05,0.18602354203601357,0.18602354203601357
T10,S15,0.18535627520182804,0.18535627520182804
E05,S05,0.185194821525902,0.185194821525902
E11,S15,0.18486249114326592,0.18486249114326592
S03,S07,0.18480965527899418,0.18480965527899418
T11,E15,0.18444353644526515,0.18444353644526515
E06,V11,0.18414738602071326,0.18414738602071326
T06,S10,0.1836635696412877,0.1836635696412877
E13,V06,0.18353948066479495,0.18353948066479495
T06,V09,0.18351526078011823,0.18351526078011823
E02,E15,-0.18296391889817482,0.18296391889817482
S11,V01,0.18276310469269683,0.18276310469269683
E13,S08,0.18269838670526578,0.18269838670526578
S01,V13,0.18245354168263095,0.18245354168263095
T09,S02,0.18220516671675765,0.18220516671675765
T12,S09,0.18196089882852015,0.18196089882852015
V01,V12,0.18181692848361777,0.18181692848361777
T02,E05,-0.18128102774439422,0.18128102774439422
T02,S14,0.1809906447317685,0.1809906447317685
S02,S11,0.18092266372065288,0.18092266372065288
T14,E14,-0.1807076171517579,0.1807076171517579
E06,E13,0.1806831944357067,0.1806831944357067
T10,S10,0.17971598522766655,0.17971598522766655
E10,S10,0.17936785335494201,0.17936785335494201
T15,E09,-0.17933490993433468,0.17933490993433468
T01,E02,0.1792464281248411,0.1792464281248411
E15,S03,0.17897503565627737,0.17897503565627737
S12,V13,0.17862036670030665,0.17862036670030665
T12,S03,0.17810749150988758,0.17810749150988758
T10,E07,0.1779302040982862,0.1779302040982862
E04,V07,0.17783965431358506,0.17783965431358506
E09,S14,0.177769644984484,0.177769644984484
T15,V09,0.17764406984673423,0.17764406984673423
E14,V07,0.17747577517241725,0.17747577517241725
T08,E02,0.17742959126461946,0.17742959126461946
T01,T08,0.17729723859070168,0.17729723859070168
S05,S12,0.17721544914461893,0.17721544914461893
E08,S06,0.1771383271317059,0.1771383271317059
T05,E14,0.1768902110622669,0.1768902110622669
T08,E06,0.17678383729417715,0.17678383729417715
E06,E14,0.1766118246340747,0.1766118246340747
T12,V08,0.1762820502689363,0.1762820502689363
S13,V02,0.17613255942089487,0.17613255942089487
T06,V02,0.17607378828837603,0.17607378828837603
E14,V03,0.17525673848235473,0.17525673848235473
E03,V01,-0.17498247966230032,0.17498247966230032
E03,E15,-0.17497019672511088,0.17497019672511088
E14,V06,0.17473747611033824,0.17473747611033824
V01,V05,0.17345368404819556,0.17345368404819556
S02,V09,0.17340203858429537,0.17340203858429537
T07,V05,0.1733949029619496,0.1733949029619496
E14,S14,0.1733096229840205,0.1733096229840205
E05,V02,0.17327375748497748,0.17327375748497748
T12,S15,0.17307114828748518,0.17307114828748518
E10,V02,0.17290849176781067,0.17290849176781067
T14,E01,-0.17288893722188228,0.17288893722188228
